trans_id,fecha,anio,quarter,mes,dia,week,dianame,hhjornada,mmjornada,inith,initm,finh,finm,totalventa,tipodocto,producto,cantidad,precio,costo,discountperc,subtotal,neto,impuesto,total,totalingreso,netoingreso,subtotalingreso,valor,valororigen,monedacmonetaria,descripcion,glosa,tipoproducto,familia,subfamilia,tipo,subtipo,vigente,unidad,procedencia
12,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,4380,0,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,MOLIDA,S,KG,NAC
13,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,15452056,22.17,4980,1900,0,110407,110407,0,110407,110407,446786,446786,4198,0,PS,CLIENTE,CERDO LOMO CENTRO ENTERO NAC,EXISTENCIA,CERDO,LOMO CENTRO,CARNES,CENTRO,S,KG,NAC
14,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,NOTA VENTA,126512508,2.025,4498,2500,0,9108,9108,0,9108,9108,625042,625042,2398,0,PS,CLIENTE,VACUNO MOLIDA CORRIENTE 10 % MG,EXISTENCIA,VACUNO,MOLIDA CORRIENTE,CARNES,VACUNO MOLIDA,S,KG,NAC
15,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,GUIA DESPACHO ELECT,7.8029E+12,40,1198,859,0,47920,47920,0,47920,47920,100056,100056,1135,0,PS,CLIENTE,MANTEQUILLA SOPROLE 1/4,EXISTENCIA,LACTEOS,MANTEQUILLA,ABARROTES,NO,S,UN,
16,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,AJUSTE T/INVENTARIO,15452056,7,1900,1900,0,13300,13300,0,13300,13300,114390,114390,4198,0,PS,CLIENTE,CERDO LOMO CENTRO ENTERO NAC,EXISTENCIA,CERDO,LOMO CENTRO,CARNES,CENTRO,S,KG,NAC
17,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,BOLETA VENTA FISCAL,126512508,0.515,3598,3023.301,0,1853,1557,296,1557,1557,2193,2610,2980,0,PS,CLIENTE,VACUNO MOLIDA CORRIENTE 10 % MG,EXISTENCIA,VACUNO,MOLIDA CORRIENTE,CARNES,VACUNO MOLIDA,S,KG,NAC
18,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126762576,5.025,4398,0,0,22100,22100,0,22100,22100,304819,304819,4380,0,PS,CLIENTE,VACUNO POSTA ROSADA MOLIDO 5% MG,EXISTENCIA,VACUNO,POSTA ROSADA,CARNES,MOLIDA,S,KG,NAC
19,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,BOLETA VENTA FISCAL,122652298,1.03,3992,3354.369,0,4112,3455,657,3455,3455,32945,39206,2998,2998,PS,CLIENTE,POLLO PECHUGA DESHUESADA,EXISTENCIA,POLLO,PECHUGA DESHUESADA,CARNES,ENTERA,S,KG,NAC
20,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,10.16,610,10,8,20,19,1392592,NOTA VENTA,126512509,5.06,4980,2000,0,25199,25199,0,25199,25199,759801,759801,4480,0,PS,CLIENTE,VACUNO MOLIDA ESPECIAL 7% MG,EXISTENCIA,VACUNO,MOLIDA ESPECIAL,CARNES,VACUNO MOLIDA,S,KG,NAC
21,1/2/2018 0:00,2018,1,1,2,1,tuesday  ,9.96,598,7,53,17,52,724280,FACT VENT ST ELEC,122962318,14.81,1898,900,0,28109,28109,0,28109,28109,330035,330035,2298,0,PS,CLIENTE,POLLO TRUTRO ENTERO NAC,EXISTENCIA,POLLO,TRUTRO,CARNES,ENTERO,S,KG,NAC
